Ticker_AR	Ticker_NYSE	Descripción	Ratio
DE	DE	Deere & Co.	2
MELI	MELI	MercadoLibre Inc.	2
GOLD	GOLD	Barrick Gold Corp	1
AAPL	AAPL	Apple Inc.	10
AMD	AMD	"ADVANCED MICRO DEVICES, INC."	0.5
COST	COST	Costco Wholesale Corp	4
MSFT	MSFT	Microsoft Corp	5
PEP	PEP	Pepsico Inc	2
BBD	BBD	Banco Bradesco S.A.	1
DISN	DIS	THE WALT DISNEY CO.	4
BABA	BABA	ALIBABA GROUP HOLDING LIMITED	9
WFC	WFC	Wells Fargo & Co.	5
KO	KO	Coca-Cola Co.	5
WMT	WMT	WALMART Inc.	3
AMZN	AMZN	"AMAZON.COM, INC."	72
VALE	VALE	Vale S.A.	2
GOOGL	GOOGL	Alphabet Inc.	29
PFE	PFE	Pfizer Inc.	2
C	C	Citigroup Inc	3
JPM	JPM	J.P. Morgan & Chase Co.	10
AUY	AUY	Yamana Gold Inc.	1
NFLX	NFLX	"NETFLIX, INC."	16
GLNT	GLOB	GLOBANT S.A.	2
XOM	XOM	Exxon Mobil Corporation	5
TSLA	TSLA	"TESLA, INC."	15
ABEV	ABEV	AMBEV S.A.	0.333333333
BA	BA	Boeing Co	3
OGZD	OGZPY	PJSC GAZPROM	2
HMY	HMY	HARMONY GOLD MINING COMPANY LTD.	1
FB	FB	"FACEBOOK, INC."	8
DESP	DESP	"DESPEGAR.COM, CORP."	1
GE	GE	General Electric Co.	1
RDS	RDS-A	Royal Dutch Shell PLC	2
AIG	AIG	American International Group (AIG)	5
BA.C	BAC	Bank of America Corporation	2
AXP	AXP	American Express Co	5
ERJ	ERJ	EMBRAER-EMPRESA BRASILEIRA DE AERONÁUTICA S.A.	1
ITUB	ITUB	ITAÚ UNIBANCO HOLDING S.A.	1
GILD	GILD	"GILEAD SCIENCES, INC."	4
NVDA	NVDA	NVIDIA CORPORATION	12
JNJ	JNJ	Johnson & Johnson	5
T	T	AT &T Inc.	3
QCOM	QCOM	Qualcomm Inc.	11
V	V	VISA INC	6
ARCO	ARCO	ARCOS DORADOS HOLDINGS INC.	0.5
PG	PG	Procter & Gamble	5
INTC	INTC	Intel Corporation	5
GGB	GGB	GERDAU S.A.	0.25
TRIP	TRIP	"TRIPADVISOR, INC."	2
MCD	MCD	McDonald's Corp.	4
BIDU	BIDU	"BAIDU, INC."	11
SNE	SNE	Sony Corporation	2
NOKA	NOK	Nokia Corporation	1
PYPL	PYPL	"PAYPAL HOLDINGS, INC."	4
BBV	BBVA	Bilbao Vizcaya Argentaria S.A.	1
CAT	CAT	Caterpillar Inc	5
CRM	CRM	"SALESFORCE.COM, INC."	6
EBAY	EBAY	EBAY Inc.	1
NKE	NKE	Nike Inc.	3
CSCO	CSCO	Cisco Systems Inc	5
BRFS	BRFS	BRF S.A.	0.333333333
ABT	ABT	Abbott Labs	2
TXR	TX	TERNIUM S.A.	2
GS	GS	"THE GOLDMAN SACHS GROUP, INC"	13
SID	SID	COMPANHIA SIDERÚRGICA NACIONAL	0.125
TWTR	TWTR	"TWITTER, INC."	1
X	X	United States Steel Corp.	3
IBM	IBM	International Business Machines	10
BP	BP	BP PLC	5
MMM	MMM	3M Company	5
CHL	CHL	CHINA MOBILE LTD.	6
UGP	UGP	ULTRAPAR PARTICIPAÇÕES S.A.	1
HPQ	HPQ	HP Inc	5
MRK	MRK	Merck & Co. Inc.	10
BSBR	BSBR	Banco Santander (BRASIL) S.A.	1
GSK	GSK	GlaxoSmithkline plc	4
TOT	TOT	TOTAL S.A.	3
CX	CX	Cemex S.A.B. de CV	1
AMX	AMX	America Movil	1
JD	JD	"JD.COM, INC."	2
CVX	CVX	Chevron Corp.	8
SNAP	SNAP	SNAP INC.	1
SBS	SBS	COMPANHIA DE SANEAMENTO BÁSICO DO ESTADO DE SÃO PAULO–SABESP	0.5
SBUX	SBUX	Starbucks Corporation	1
MO	MO	Altria Group Inc.	4
LVS	LVS	Las Vegas Sands Corp	1
HD	HD	"Home Depot Inc., The"	4
BCS	BCS	Barclays Bank PLC	6
FMX	FMX	Fomento Economico Mexicano - FEMSA	2
TGT	TGT	TARGET CORPORATION	4
YELP	YELP	YELP INC.	2
ORCL	ORCL	Oracle Corporation	3
VOD	VOD	Vodafone Group PLC	1
SLB	SLB	Schlumberger Ltd	3
ADBE	ADBE	ADOBE SYSTEMS INCORPORATED	11
AMGN	AMGN	Amgen Inc.	5
ARNC	ARNC	Arconic Inc.	6
